Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length
10000,-2.1263406,0.8714692,-3474.0,9921.0
11000,-5.49958,0.64642245,None,None
12000,-1.7587249,0.6645006,None,None
13000,-1.9379222,0.6670841,None,None
14000,-1.1860209,0.6835699,None,None
15000,-1.171755,0.6835817,None,None
16000,-0.89045274,0.69438016,None,None
17000,-0.8651258,0.6945809,None,None
18000,-0.5258323,0.666858,None,None
19000,-0.32354692,0.6576166,None,None
20000,-0.17283425,0.6776592,-2.0,9921.0
21000,-0.03473921,0.69222325,None,None
22000,-0.008589287,0.68094397,None,None
23000,0.03556904,0.66954917,None,None
24000,0.024893787,0.66684115,None,None
25000,0.0129783815,0.6623858,None,None
26000,0.013109938,0.6609387,None,None
27000,-0.0015181927,0.65195924,None,None
28000,-0.00019827108,0.6519393,None,None
29000,-0.0010126026,0.5668986,None,None
30000,-0.0020633345,0.56705076,0.0,9921.0
31000,-0.0028310763,0.6148153,None,None
32000,-0.001166747,0.62186754,None,None
33000,-0.000790082,0.61622524,None,None
34000,-0.00081672054,0.61402774,None,None
35000,-6.486557e-05,0.5909998,None,None
36000,-6.6118395e-05,0.5763704,None,None
37000,0.00020481463,0.55775505,None,None
38000,0.00024265176,0.5260571,None,None
39000,0.00012041356,0.5114005,None,None
40000,0.00010829086,0.4687291,0.0,9921.0
41000,0.00020131757,0.47689044,None,None
42000,7.0243404e-05,0.53867084,None,None
43000,-3.303663e-06,0.5344529,None,None
44000,2.598812e-05,0.56799793,None,None
45000,-2.6922957e-05,0.56336856,None,None
